length=100,window_size=10
1,2018-06-21 [19:07:23],6.931127591962067
2,2018-06-22 [11:56:48],5.755516792667871
3,2018-06-23 [10:09:23],5.004250054228651
4,2018-06-24 [14:58:36],12.870827986559083
5,2018-06-25 [01:53:33],13.568728613634492
6,2018-06-26 [17:14:27],13.13768657779183
7,2018-06-27 [15:33:10],10.929333082544815
8,2018-06-28 [02:11:21],13.601266957377506
9,2018-06-29 [22:42:30],5.551803079014633
10,2018-06-30 [03:43:19],5.402588076182846
11,2018-06-31 [05:44:43],14.05994188950518
12,2018-07-01 [09:31:06],5.724896736539122
13,2018-07-02 [13:07:36],6.580816999552471
14,2018-07-03 [06:34:19],6.417378505204129
15,2018-07-04 [10:57:32],12.317070569202714
16,2018-07-05 [00:35:59],13.980893123267668
17,2018-07-06 [11:16:36],12.97290427566331
18,2018-07-07 [15:57:05],14.85185776343266
19,2018-07-08 [20:13:38],9.113754417727836
20,2018-07-09 [01:59:52],12.103680537949657
21,2018-07-10 [13:37:13],10.227882963933133
22,2018-07-11 [04:04:34],6.38908718636592
23,2018-07-12 [13:00:05],9.000388439437173
24,2018-07-13 [12:29:36],8.915223585307336
25,2018-07-14 [11:49:12],7.257521298435668
26,2018-07-15 [18:27:39],5.757888617042711
27,2018-07-16 [08:04:36],14.183946673466991
28,2018-07-17 [22:30:48],5.472900823959082
29,2018-07-18 [00:02:29],11.364216066336878
30,2018-07-19 [18:14:09],7.639408138075345
31,2018-07-20 [13:00:34],8.985070917113041
32,2018-07-21 [06:53:22],11.08059415734842
33,2018-07-22 [02:39:31],6.077280628872344
34,2018-07-23 [10:31:48],12.29332427202962
35,2018-07-24 [11:01:30],7.412432336767596
36,2018-07-25 [03:28:32],8.171987630238456
37,2018-07-26 [10:48:37],13.585743521638294
38,2018-07-27 [19:19:28],13.994240037149351
39,2018-07-28 [12:57:15],5.806317069470764
40,2018-07-29 [05:56:12],10.674086487565212
41,2018-07-30 [20:23:03],12.59910736549717
42,2018-07-31 [02:47:24],10.492505919688087
43,2018-08-01 [10:50:20],13.081396659183646
44,2018-08-02 [11:14:08],13.812195987506568
45,2018-08-03 [18:33:39],5.320293861179115
46,2018-08-04 [02:55:25],9.334877128557087
47,2018-08-05 [01:50:15],11.955156594723652
48,2018-08-06 [04:05:13],6.532176627891942
49,2018-08-07 [14:22:31],14.749373339159856
50,2018-08-08 [17:22:05],13.817260111601825
51,2018-08-09 [21:35:59],7.557622108233303
52,2018-08-10 [22:45:24],6.947216969534528
53,2018-08-11 [08:03:37],9.338912554812202
54,2018-08-12 [19:40:40],10.225509582617284
55,2018-08-13 [06:02:03],9.668081165477865
56,2018-08-14 [02:19:37],14.98248242357075
57,2018-08-15 [17:40:36],7.6482414150502285
58,2018-08-16 [03:13:03],7.783904697701873
59,2018-08-17 [14:13:44],5.764576921263476
60,2018-08-18 [04:35:39],6.924658746890184
61,2018-08-19 [06:03:17],6.1554078961447045
62,2018-08-20 [15:54:37],13.56480081245867
63,2018-08-21 [01:05:32],13.582283369969415
64,2018-08-22 [02:34:14],9.016955687757144
65,2018-08-23 [05:28:52],8.861540880638545
66,2018-08-24 [11:20:29],5.168828525470548
67,2018-08-25 [17:45:34],14.30111724453127
68,2018-08-26 [17:25:28],5.172089125794069
69,2018-08-27 [01:54:18],8.696532797127952
70,2018-08-28 [07:11:54],11.086955642954322
71,2018-08-29 [13:35:51],12.065439948064641
72,2018-08-30 [02:27:21],14.837683162202161
73,2018-09-01 [19:00:38],10.89158755441273
74,2018-09-02 [15:00:50],8.26269348670277
75,2018-09-03 [23:06:26],11.323892625259857
76,2018-09-04 [22:17:45],9.38557055382301
77,2018-09-05 [05:18:27],11.712771848399043
78,2018-09-06 [00:01:08],6.9557147934499035
79,2018-09-07 [05:20:06],11.814831550041896
80,2018-09-08 [03:48:13],7.7776381494299525
81,2018-09-09 [13:39:12],11.808155445588882
82,2018-09-10 [08:14:04],11.58743333156414
83,2018-09-11 [06:31:07],9.786066582573914
84,2018-09-12 [21:34:06],12.658280741224539
85,2018-09-13 [02:42:02],12.237963808277356
86,2018-09-14 [04:37:04],13.863168680898843
87,2018-09-15 [06:51:59],6.077004228908635
88,2018-09-16 [04:27:23],12.343498371751648
89,2018-09-17 [02:36:12],13.866741322290671
90,2018-09-18 [02:34:02],14.953264405050781
91,2018-09-19 [17:24:49],12.632288626654732
92,2018-09-20 [05:45:14],6.164372052062774
93,2018-09-21 [21:27:11],14.8619503603447
94,2018-09-22 [07:12:21],9.404680230855916
95,2018-09-23 [23:24:51],12.290398715538796
96,2018-09-24 [05:02:18],9.988302943843264
97,2018-09-25 [19:45:00],9.972774945285385
98,2018-09-26 [22:09:52],13.553058879785135
99,2018-09-27 [01:32:36],12.568630516329401
100,2018-09-28 [17:59:38],14.519736182855474
